source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
"With the help of the video surveillance, the chances of people performing crimes can be decreased.","With the help of the video surveillance, the chances of people performing crimes can be decreased.","4,4,3,4,4","4,4,3,3,3","3,4,3,4,4","smt,cnn",3.8,3.4,3.6
RFID can be one of the trivial ways to help dispel criminal or terroristic thoughts.,RFID can be one of the trivial ways to help dispel criminal or terrifying thoughts.,"2,4,3,4,4","3,4,4,4,2","1,4,3,1,2",lstm,3.4,3.4,2.2
"With the moral of filial, most of the children will take care of their parents after their retirement life.","With the moral of filial, most children will take care of their parents after their retirement life.","3,3,3,3,3","3,3,3,3,3","3,4,3,4,3",copy-net,3.0,3.0,3.4
"They can live a happy life, but actually to the society as a whole, it is a waste of social resource.","They can live a happy life, but actually to society as a whole, it is a waste of social resources.","3,4,4,4,4","3,4,3,4,3","3,4,3,4,4","lstm,copy-net",3.8,3.4,3.6
Rising life expectancy is a technology achievement.,Rising life expectancy is a technology achievement.,"4,4,3,4,2","4,4,4,4,3","4,4,3,4,4","lstm,transformer,cnn",3.4,3.8,3.8
"With the development of society, of the past thousands of years, the technology is progressing and the concern for health is arising, so that higher life expectancies are achieved.","With the development of society, of the past thousands of years, the technology is progressing and the concern for health is rising, so that higher life expectancies are achieved.","4,3,4,3,2","3,4,3,3,2","3,4,3,4,3",cnn,3.2,3.0,3.4
"As people who are incapable of production become more and more, our society follows a downward trend.","As people who are incapable of production become more and more, our society follows a downward trend.","4,4,3,3,3","4,4,4,2,3","4,4,3,4,4","lstm,copy-net,transformer,cnn",3.4,3.4,3.8
"Disabled people walks with artificial legs, man can getting pregnant, even the sexual of a human can be changed just by doing simple surgery.","Disabled people walks with artificial legs, man can get pregnant, even the sex of a human can be changed just by doing simple surgery.","2,3,3,3,2","2,4,4,3,2","2,4,3,4,3",cnn,2.6,3.0,3.2
"Therefore, the rising life expectancies can be considered both a challenge and an achievement.","Therefore, the rising life expectancy can be considered both a challenge and an achievement.","4,4,4,4,4","4,4,3,4,4","3,4,3,4,4","lstm,copy-net,transformer,cnn",4.0,3.8,3.6
"Since this may happen across province, and without any clue about the path that the child may went through.","Since this may happen across a province, without any clue about the path that the child may go through.","3,4,3,4,2","3,4,4,3,3","1,4,3,3,3",cnn,3.2,3.4,2.8
"Therefore, we must encounter the challenges and be proud of the achievement to create a new life for our next generation.","Therefore, we must encounter the challenges and be proud of the achievement to create a new life for our next generation.","4,4,4,4,3","3,4,3,4,2","4,4,3,4,4","smt,lstm",3.8,3.2,3.8
"With the ageing population, many countries are facing the same challenge as to build safety houses, facilities to cater to the old aged.","With the ageing population, many countries are facing the same challenge as to build safety houses, facilities to cater to the aged.","3,3,3,3,3","3,4,4,2,3","3,4,3,4,4","lstm,cnn",3.0,3.2,3.6
"In late nineteenth century, there was a severe air crash happening at Miami international airport.","In the late nineteenth century, there was a severe air crash at Miami International Airport.","4,4,4,4,4","4,4,3,4,3","2,4,3,4,3",transformer,4.0,3.6,3.2
"With more advanced technology in medicine area, more and more diseases can be cured so that much more death is avoided.","With more advanced technology in medicine area, more and more diseases can be cured so much more death is avoided.","3,4,3,3,3","2,4,3,2,2","3,4,3,4,4",cnn,3.2,2.6,3.6
The production of food is showing a lower growth rate compare to population's growth rate which will end up with insufficient food in the future.,"The production of food is showing a lower growth rate compare to the population's growth rate, which will end up with insufficient food in the future.","2,4,3,3,3","2,4,4,2,3","4,4,3,4,4",cnn,3.0,3.0,3.8
Although we are not implanted chips we are exposed under CCTV.,Although we are not implanted with chips we are exposed to CCTV.,"3,4,4,4,4","3,4,3,4,4","2,4,3,4,4",lstm,3.8,3.6,3.4
There is only one thing different.,There is only one thing that is different.,"4,4,4,4,4","4,4,4,4,4","2,4,3,4,4",cnn,4.0,4.0,3.4
"First, our privacy is at threat.","First, our privacy is at a threat.","2,4,3,3,3","2,4,2,3,3","2,4,3,4,4",lstm,3.0,2.8,3.4
"For people, this is an achievement, but for nature, it changes its rule and cycle, which is a big challenge faced by human being.","For people, this is an achievement, but for nature, it changes its rule and cycle, which is a big challenge faced by human beings.","4,4,4,4,3","3,4,3,4,2","3,4,3,4,4","copy-net,transformer",3.8,3.2,3.6
"To pay this extra money, government will exert higher taxed on the other people.","To pay this extra money, the government will exert higher taxed on the other people.","2,4,3,3,3","2,4,4,2,4","2,4,3,4,3","lstm,cnn",3.0,3.2,3.2
All the achievements human make influence the lifespan of people.,All the achievements of human influences the lifespan of people.,"2,4,3,3,3","3,4,3,2,2","1,4,3,4,3",smt,3.0,2.8,3.0
"The family members must be worrying a lot about the lost elderly, and with the help of police office, maybe they can find the elderly back, but it will take a long time, and a lot of energy to find someone in a country has a population about five million without knowing the exact location of that person.","The family members must be worrying a lot about the lost elderly, and with the help of the police office, maybe they can find the elderly back, but it will take a long time, and a lot of energy to find someone in a country has a population of about five million without knowing the exact location of that person.","2,3,3,3,3","1,4,4,2,3","3,4,3,4,4",cnn,2.8,2.8,3.6
"No matter where people go, taking bus or MRT, people are under the CCTVs, it is very important and useful to track and find people.","No matter where people go, taking the bus or MRT, people are under the CCTVs, it is very important and useful to track and find people.","3,4,3,3,3","2,4,3,2,2","4,4,3,4,4",smt,3.2,2.6,3.8
The air cargo of the Valujet plane was on fire after the plane had taken off.,The air cargo of Valujet plane was on fire after the plane had taken off.,"4,4,3,4,3","4,4,3,4,3","4,4,3,4,4",smt,3.6,3.6,3.8
"We often put tags on products and animals because we treat them as goods, it is easy for trade when they are all labelled and tagged.","We often put tags on products and animals because we treat them as goods, it is easy for trade when they are all labelled and tagged.","3,4,3,4,4","2,4,4,4,3","4,4,3,4,4","smt,lstm,copy-net,cnn",3.6,3.4,3.8
Their opinion is based on the children safety protection and parents' guardian.,Their opinion is based on the children safety protection and parents' guardian.,"2,4,3,3,3","3,4,3,2,2","2,4,3,4,4","smt,lstm",3.0,2.8,3.4
"In my opinion, I think we should study balance it well, one side we should continue to make efforts to raise the humans life, one side, we should consider using asking some sick old men whether if they want to take euthanasia.","In my opinion, I think we should study balance it well, one side we should continue to make efforts to raise human life, one side, we should consider using asking some sick old men whether they want to take euthanasia.","2,3,3,3,3","1,3,4,2,3","2,4,3,4,4","smt,copy-net",2.8,2.6,3.4
Many science fictions have made good efforts in describing a future of human in which every body in society is put under close surveilliance of the governments.,Many science fiction have made good efforts in describing a future of humans in which every body in society is put under close survey of the governments.,"3,3,4,3,3","2,3,3,2,3","2,4,3,4,3",transformer,3.2,2.6,3.2
"Making use of our smart brain to improve our quality of life and give us more time to enjoy the life, it sounds like perfect, but we must face to the reality--there is no Utopia.","Making use of our smart brain to improve our quality of life and give us more time to enjoy life, it sounds perfect, but we must face reality--there is no Utopia.","2,4,3,4,3","3,4,4,3,3","1,4,3,4,4",smt,3.2,3.4,3.2
Every moves of us are easily tracked.,Every movement is easily tracked.,"4,4,2,4,4","4,4,3,4,4","1,4,3,3,3",lstm,3.6,3.8,2.8
"Even when the disaster comes, we can restore the order of our life in a relatively short time than before.","Even when the disaster comes, we can restore the order of our lives in a relatively shorter time than before.","3,4,2,4,2","2,4,3,3,2","2,4,3,4,3",transformer,3.0,2.8,3.2
"In the movie, the spy agent accesses the public street cameras to track Jason's Borne whereabouts.","In the movie, the spy agent accesses public street cameras to track Jason's whereabouts.","4,4,3,4,4","4,4,3,3,3","2,4,3,3,3",copy-net,3.8,3.4,3.0
"After a country was just founded, some immature policy leaded to a nationwide hunger.","After a country was just founded, some immature policy led to a nationwide hunger.","3,3,4,4,3","1,3,3,3,3","2,4,3,4,4",cnn,3.4,2.6,3.4
"Therefore, achieving such great fret, in these areas is considered as an achievement where human lives is then improved and extended the life of us.","Therefore, achieving such great fret in these areas is considered as an achievement where human lives are then improved and extended the lives of us.","3,3,3,3,2","2,3,4,2,2","2,4,3,4,3",copy-net,2.8,2.6,3.2
"In another a word, people will feel that the boss or the company treats them like goods, because modern people need more homage not money.","In other words, people will feel that the boss or the company treats them like goods, because modern people need more homage not money.","3,4,2,4,2","3,4,3,3,3","2,4,3,4,4",smt,3.0,3.2,3.4
"In fact, people are getting more exposed in public through the fast development of the virtual world-the internet.","In fact, people are becoming more exposed in public through the fast development of virtual world-the internet.","3,4,2,4,4","3,4,3,3,4","3,4,3,4,4",lstm,3.4,3.4,3.6
Technology advancement is extremely fast nowadays.,Technology advancement is extremely fast nowadays.,"4,4,3,4,4","4,4,4,4,4","4,4,3,4,4","smt,lstm,copy-net,transformer",3.8,4.0,3.8
This phenomenon increases the demand of land property and subsequently affects their price and size together.,This phenomenon increases the demand of land property and subsequently affects their price and size.,"3,4,2,4,4","3,4,3,3,3","2,4,3,4,4",cnn,3.4,3.2,3.4
"Since that we have a better living circumstances and higher living quality, we are leading a longer life.","Since we have better living conditions and higher quality, we are leading a longer life.","4,4,3,4,3","4,4,3,3,3","2,4,3,4,3",smt,3.6,3.4,3.2
Bad mood cannot give them a longer time of life.,A bad mood cannot give them a longer life.,"4,4,2,4,4","4,4,3,4,4","3,4,3,3,3",transformer,3.6,3.8,3.2
"It is a natural rule that when people grow older, their bodies will be less flexible and brains will operate slower, so they will contribute less to the society.","It is a natural rule that when people grow older, their bodies will be less flexible and their brains will operate slower, so they will contribute less to society.","4,4,3,4,4","3,4,4,4,3","3,4,3,4,4",copy-net,3.8,3.6,3.6
Healthcare is better than in the past.,Health is better than in the past.,"3,4,4,4,4","3,4,4,4,3","4,3,3,4,1",transformer,3.8,3.6,3.0
"In other words, government originally hopes to use tracking system to ensure citizens safety, now it has been divulged human information.","In other words, the government originally hopes to use the tracking system to ensure citizens' safety, now it has been divulged human information.","3,2,3,3,3","3,1,3,3,2","4,3,4,4,4",cnn,2.8,2.4,3.8
"Furthermore, some of parents hold the positive views to surveillance technology and agree to implant the RFID into their children's body.","Furthermore, some parents hold positive views to surveillance technology and agree to implant the RFID into their children's body.","4,3,3,4,3","4,2,3,4,2","4,3,4,4,4","smt,lstm",3.4,3.0,3.8
An improvement in engineering and medical science had been valued since humanism arises.,An improvement in engineering and medical science has been valued since humanism rises.,"3,2,2,3,3","3,1,2,4,2","4,4,2,4,4",transformer,2.6,2.4,3.6
"Although we all understand the installing of CCTV is used for protect us from criminal, nowadays, it seems to be abused too much.","Although we all understand that the installing of CCTV is used to protect us from criminals, nowadays, it seems to be abused too much.","4,4,4,4,4","4,4,4,4,4","4,3,4,4,4",transformer,4.0,4.0,3.8
"In the long history of the evolution, we are always struggling for life against staving and illness.","In the long history of evolution, we are always struggling for life against failure and illness.","4,3,3,4,4","4,3,3,4,4","2,2,3,3,4",lstm,3.6,3.6,2.8
"The rising life expectancies may be due to several different reasons, for example, it may be because of the improvement of the living condition, or because of the upgrade of the cleanness of the living environment, or because of the wide arrange of nutrition that absorbed by the human, or because of the development of the medication system in the country.","The rising life expectancies may be due to several different reasons, for example, it may be because of the improvement of the living conditions, or because of the upgrade of the cleanness of the living environment, or because of the development of the medication system in the country.","4,3,3,4,4","4,1,3,4,4","4,1,3,3,4",cnn,3.6,3.2,3.0
Cars and trucks diminish the redundancy of long time shipment.,Cars and trucks diminish redundant long time shipment.,"3,2,2,4,4","3,1,2,4,3","4,1,3,4,3",smt,3.0,2.6,3.0
Rising life expectancy is a challenge in a sense that it is highly relied on development of medication.,Rising life expectancy is a challenge in a sense that it is highly relied on the development of medication.,"4,1,3,3,3","4,1,3,4,2","3,3,3,4,4",cnn,2.8,2.8,3.4
"By following the trend of improvement in technology, people can now easily tracked by using RFID (radio-frequency identification) by simply implant a RFID tags on human body.","By following the trend of improvement in technology, people can now easily tracked by using RFID (radio-frequency identification) by simply implant an RFID tags on the human body.","3,2,3,3,3","3,1,3,4,2","4,3,3,4,4",smt,2.8,2.6,3.6
"However, based on the humanism, humans are different from the animals, people should respect every life.","However, based on the humanism, humans are different from animals, people should respect every life.","3,1,2,3,3","3,1,2,4,2","4,3,2,4,4",smt,2.4,2.4,3.4
They do not want to bother to spend so much time in raising and nurturing children.,They do not want to bother to spend so much time in raising and nurturing children.,"4,3,3,4,4","4,3,3,4,4","4,4,3,4,4","smt,lstm",3.6,3.6,3.8
Normal people's privacy needs government seriously considered about.,Normal people's privacy needs government seriously considered.,"2,1,2,3,4","2,1,2,3,2","4,3,2,4,4",smt,2.4,2.0,3.4
"At the same time, we also need to consider the negative effects brought by the ageing population, and then find proper measures to counter the challenges.","At the same time, we also need to consider the negative effects brought by the ageing population, and then find the proper measures to counter the challenges.","4,4,3,4,4","4,3,3,4,4","4,3,4,4,4",smt,3.8,3.6,3.8
"Thus, we should not compare now with the past but we need to worried about the future problems that caused by this situation.","Thus, we should not compare now with the past but we need to worry about future problems that caused by this situation.","3,2,3,3,3","3,2,3,4,2","4,3,3,4,4",cnn,2.8,2.8,3.6
"Maybe, it is because the modern society is become more and more competitive, the parents are paying much attention and importance to their career.","Maybe it is because modern society is becoming more and more competitive, parents are paying much attention and importance to their careers.","3,2,3,4,3","3,1,3,4,2","4,3,4,4,4",smt,3.0,2.6,3.8
These changes and damages also increase the chances of contacting more illness as we age.,These changes and damage also increase the chances of contacting more illnesses as we age.,"4,2,3,4,3","4,2,3,4,3","4,1,4,4,4",cnn,3.2,3.2,3.4
Children told their parents.,Children told their parents.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm",4.0,4.0,4.0
Another rising life expectancy is a bigger house with a lower price which is raised up by younger generation.,Another rising life expectancy is a bigger house with a lower price which is raised by the younger generation.,"3,1,3,3,3","3,1,3,4,2","4,3,4,3,4",transformer,2.6,2.6,3.6
Policeman can just go to the certain place and chase the criminal.,Policeman can just go to a certain place and chase criminals.,"4,3,3,4,4","4,3,3,4,2","3,2,4,4,4",copy-net,3.6,3.2,3.4
"All the conditions must be agreed by the person that agrees auto-tracking device to track him like, the time of tracking and who can view your location.","All the conditions must be agreed by the person that agrees with auto-tracking device to track him like, the time of tracking and who can view your location.","4,2,3,3,3","4,2,3,4,2","4,3,4,4,4",transformer,3.0,3.0,3.8
"So according to the humanism, people should make contribution to rising the humans life, because people should consider the feelings if one day when you are becoming older and older, so respecting life should be considered carefully.","So according to humanism, people should make contributions to rising human life, because people should consider the feelings if one day you are becoming older and older, so respecting life should be considered carefully.","4,2,3,3,3","4,1,3,4,2","3,3,4,4,4",transformer,3.0,2.8,3.6
"However, these natural resources are not renewable.","However, these natural resources are not renewable.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",4.0,4.0,4.0
This phenomenon is accepted by the public even by those who do not own a pet.,This phenomenon is accepted by the public even by those who do not own a pet.,"4,3,3,4,4","4,4,3,4,4","4,4,4,4,4","lstm,copy-net,cnn",3.6,3.8,4.0
"Based on the identifiable environment, a lot of convention way or style of human life can be changed.","Based on the identifiable environment, a lot of convention ways or styles of human life can be changed.","3,2,2,4,3","3,1,2,4,2","4,3,4,4,4",copy-net,2.8,2.4,3.8
"Hence, the country will face a big challenge as to take care of the elderly.","Hence, the country will face a big challenge as taking care of the elderly.","4,2,3,3,3","4,1,3,4,2","4,3,4,4,4",smt,3.0,2.8,3.8
The economy of country is boosted up and further leads to the new development and rise up our living standard.,The economy of the country is boosted up and further leads to the new development and rise up our living standard.,"3,2,3,3,3","3,1,3,4,2","4,3,4,4,4","lstm,transformer,cnn",2.8,2.6,3.8
"Without surveillance technology, the suspicious people might actually commit a murder and the murder can be much more serious if the police cannot arrive in time to help out.","Without surveillance technology, suspicious people might actually commit murder and murder can be much more serious if the police cannot arrive in time to help out.","4,3,3,4,4","4,2,3,4,2","4,3,4,4,4",smt,3.6,3.0,3.8
"The reasons are mainly due to the threat of fierce animals like tigers and lions, the lack of food, the lack of hygiene knowledge, and also very importantly, the lack of medicine.","The reasons are mainly due to the threat of fierce animals like tigers and lions, lack of food, the lack of hygiene knowledge, and also very importantly, the lack of medicine.","4,3,3,4,4","4,2,3,4,3","4,3,4,4,4",cnn,3.6,3.2,3.8
"On one side, we cannot deny that it is a great achievement with the rising life expectancies.","On one side, we cannot deny that it is a great achievement with rising life expectancies.","4,1,3,4,3","4,1,3,4,3","4,3,4,4,4",smt,3.0,3.0,3.8
"Sometimes, older need more man power and resources than normal young people.","Sometimes, older needs more manpower and resources than normal young people.","3,2,3,3,3","3,1,3,4,2","4,3,4,4,4",smt,2.8,2.6,3.8
There are two points supporting this argument.,There are two reasons supporting this argument.,"4,4,3,4,4","4,4,3,4,4","4,3,3,4,4",copy-net,3.8,3.8,3.6
"In this, I mean that we can input this device implant into an animal or birds species, for us to track their movements and actions relating to our human research that can bring us to a new regime.","In this, I mean that we can input this device into an animal or bird species, for us to track their movements and actions relating to our human research that can bring us to a new regime.","3,1,3,3,3","3,1,3,4,2","4,4,3,4,4",lstm,2.6,2.6,3.8
"However, if the child has been installed with tracking device, more information will be provided along the way when the family is trying to find him or her back.","However, if the child has been installed with tracking device, more information will be provided along the way when the family is trying to find him or her back.","3,2,3,3,3","3,1,3,4,2","4,4,4,4,4","smt,copy-net",2.8,2.6,4.0
"Knowing that this is the favorable route by the people, the government now has sufficient information to build a walking path that truly benefits the people.","Knowing that this is the favorable route by the people, the government now has sufficient information to build a walking path that truly benefits people.","4,3,3,4,3","4,2,3,4,2","4,3,4,4,4",cnn,3.4,3.0,3.8
"Since not all of the human being is going to be a doctor, people relies the skills of treatment of doctors and hence, they start to ignore the maintenance of their own health.","Since not all of the human beings are going to be doctors, people rely on the skills of treatment of doctors and hence, they start to ignore the maintenance of their own health.","3,3,3,4,3","3,2,3,4,3","4,2,4,4,4",copy-net,3.2,3.0,3.6
There are two possibilities.,There are two possibilities :,"4,0,4,4,4","4,3,4,4,4","4,1,4,4,4","lstm,copy-net",4.0,3.8,3.4
Population ageing means that there are more retired old people in the society and the portion of working adults is decreased.,Population ageing means that there are more retired old people in society and the portion of working adults has decreased.,"4,4,3,4,4","4,3,3,4,4","4,3,4,4,4",smt,3.8,3.6,3.8
"Recently, many of cell phone are equipped with GPS which means that they can find the device's location if it is lost.","Recently, many cell phones are equipped with GPS which means that they can find the device's location if it is lost.","4,3,3,4,3","4,3,3,4,3","4,4,4,4,4","smt,copy-net,transformer,cnn",3.4,3.4,4.0
It will also induce many problems.,It will also cause many problems.,"4,4,4,4,4","4,4,3,4,4","3,3,3,4,4","smt,copy-net",4.0,3.8,3.4
"Based on the identifiable environment, a lot of convention way or style of human life can be changed.","Based on the identity environment, a lot of convention ways or style of human life can be changed.","3,2,2,4,3","3,1,2,4,2","3,3,3,4,4",transformer,2.8,2.4,3.4
"As what we have mentioned above, as human being, we should enjoy our privacy during our life as long as we do not cause harm to others.","As what we have mentioned above, as human beings, we should enjoy our privacy during our life as long as we do not cause harm to others.","4,2,3,4,3","4,1,3,4,2","4,3,4,4,4","smt,lstm",3.2,2.8,3.8
"While we are celebrating for the break-through of our way to Utopia, we are suffering facing to a new challenge.","While we are celebrating for the break-through our way to Utopia, we are suffering facing a new challenge.","2,1,2,3,3","2,1,2,4,2","4,1,4,4,4",lstm,2.2,2.2,3.4
"In the novel 1984, written by George Orwell, author imagines a world in which people are being watched by the big brother when they doing everything.","In the novel 1984, written by George Orwell, author imagines a world in which people are being watched by big brother when they doing everything.","3,2,3,4,3","3,1,3,4,3","4,3,4,4,4",smt,3.0,2.8,3.8
The increasing in population of a country makes the government taking more difficulties of registers the members of each individual family and hence other factors existed as an obstacle of country development.,The increasing in population of a country makes the government take more difficulties of registers the members of each individual family and hence other factors existed as an obstacle of country development.,"3,1,3,3,3","3,1,3,3,2","4,3,3,4,4",copy-net,2.6,2.4,3.6
It should therefore not be used to track the population in order to protect people's privacy and the idea of democracy.,It should therefore not be used to track the population in order to protect people's privacy and the idea of democracy.,"4,4,3,4,4","4,4,3,4,4","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.8,3.8,4.0
"Although life expectancies may increase significantly, the population overall productivity may not increase linearly.","Although life expectancy may increase significantly, the overall population productivity may not increase linearly.","4,4,3,4,4","4,3,3,4,4","3,3,4,4,4",transformer,3.8,3.6,3.6
So Surveillance technology should not be used to track people.,So Surveillance technology should not be used to track people.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4",copy-net,4.0,4.0,4.0
"Firstly, although the treatment is reliable, people would still need to have the awareness of their own health condition.","Firstly, although the treatment is reliable, people would still need to have the awareness of their own health conditions.","4,3,3,4,4","4,2,3,4,4","4,3,4,4,4",smt,3.6,3.4,3.8
"All of us hope to live in a freer, more relaxed and safer world.","All of us hope to live in a freer, more relaxed and safer world.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,copy-net,transformer,cnn",4.0,4.0,4.0
"Due to all these reasons, people died quite early, which results in a low life expectancy.","Due to all these reasons, people died quite early, which results in a lower life expectancy.","4,4,3,3,3","4,3,3,2,2","4,3,3,3,4",smt,3.4,2.8,3.4
Our life is not only exposed to big brother.,Our life is not only exposed to big brothers.,"4,1,3,3,4","4,1,3,4,4","4,3,3,3,4",copy-net,3.0,3.2,3.4
The first example will be to track your personal items and prevent from losing it.,The first example will be to track your personal items and prevent losing it.,"4,3,3,3,3","4,3,3,3,2","4,3,3,3,4","smt,lstm,cnn",3.2,3.0,3.4
Children can easily be track based on the location of cell phone by parents.,Children can easily track based on the location of cell phone by parents.,"3,2,2,2,3","3,2,2,1,2","4,3,3,1,4",smt,2.4,2.0,3.0
"If there are some controversy, how it can be improved.","If there is some controversy, how it can be improved.","3,2,2,2,2","3,2,2,2,2","4,4,3,3,4","transformer,cnn",2.2,2.2,3.6
"Otherwise, the comfort level of life will be maintained or lowered down when the time passes or people should lower their expectancies of life.","Otherwise, the comfort level of life will be maintained or lowered down when time passes and people should lower their expectancies of life.","4,2,3,2,3","4,2,3,2,2","4,4,3,3,4",smt,2.8,2.6,3.6
Development of technology is making our life easier and more comfortable.,Technology is making our life easier and more comfortable.,"4,4,3,3,4","4,4,3,3,4","4,3,3,2,3",lstm,3.6,3.6,3.0
"With the information about the location of the cargo, it is much easier to prevent unexpected loss and come up with more efficient plans to save the energy and resources of the company.","With the information about the location of the cargo, it is much easier to prevent unexpected loss and come up with more efficient plans to save the energy and resources of the company.","3,3,3,3,4","4,3,3,3,3","4,4,3,4,4",copy-net,3.2,3.2,3.8
"In addition, if surveillance technology is even better developed, it can be used to detect the problem before the real accidence has happened.","In addition, if surveillance technology is even better developed, it can be used to detect the problem before the real accident has happened.","4,2,3,3,3","4,3,3,3,2","4,4,3,3,4",transformer,3.0,3.0,3.6
"To sum up, with rising life expectancies, there exist both achievement and challenge.","To sum up, with rising life expectations, there exists both achievement and challenge.","4,2,4,3,4","4,3,4,4,4","4,4,4,3,4",lstm,3.4,3.8,3.8
"In that sense, rising life expectancies can be considered as an achievement.","In that sense, rising life expectancies can be considered as an achievement.","4,3,4,4,3","4,3,4,4,3","4,4,4,4,4","smt,cnn",3.6,3.6,4.0
"If we have these technologies, it will automatically confirm people's indemnification and save the effort to carry a lot of cards.","If we have these technologies, it will automatically confirm people's indemnification and save the effort to carry a lot of cards.","4,2,3,2,2","4,3,3,3,2","4,4,3,4,4","lstm,copy-net,transformer,cnn",2.6,3.0,3.8
"Although the initial function of implementation of RFID is good for the children, however children also have the human rights and privacy which is endanger under this technology.","Although the initial function of implementation of RFID is good for children, children also have human rights and privacy which is endanger under this technology.","3,2,3,2,2","3,3,3,2,2","4,3,3,3,4",transformer,2.4,2.6,3.4
The people can get there as soon as possible to save them.,The people can get there as soon as possible to save them.,"4,3,4,3,4","4,2,4,2,4","4,4,4,4,4",cnn,3.6,3.2,4.0
Population ageing means that there are more retired old people in the society and the portion of working adults is decreased.,Population ageing means that there are more retired old people in society and the portion of working adults is decreased.,"4,3,3,3,4","4,3,3,3,4","4,3,3,3,4",cnn,3.4,3.4,3.4
Rising life expectancies is an achievement because it is an evidence of progress of modern medical technology and meanwhile it is a challenge because it can incur the problem of lacking work force or too large population.,Rising life expectancies is an achievement because it is evidence of progress of modern medical technology and meanwhile it is a challenge because it can incur the problem of lacking work force or too large population.,"3,2,3,2,3","3,2,4,2,2","4,3,3,3,4",lstm,2.6,2.6,3.4
"On the condition that the kindergarten students are very young and they do not have a very sound self-conscious, this system can prevent them from lost.","On the condition that the kindergarten students are very young and they do not have a very sound self-conscious, this system can prevent them from getting lost.","3,3,3,2,3","3,3,4,2,2","4,3,3,3,4",copy-net,2.8,2.8,3.4
"Social networks such as facebook ,Tiwtter and many others often reveal the true identities and some confidential information of the users without being realised.","Social networks such as Facebook ,Tiwtter and many others often reveal the true identities and some confidential information of the users without being realised.","4,2,3,3,3","4,3,3,2,3","4,4,3,3,4",copy-net,3.0,3.0,3.6
Surveillance technology such as RFID is not only useful to track the lost people but also useful to prevent the trading of children which happens in many developing countries.,Surveillance technology such as RFID is not only useful to track the lost people but also useful to prevent the trading of children which happen in many developing countries.,"3,3,3,2,3","4,2,4,2,2","4,3,3,4,4","lstm,transformer",2.8,2.8,3.6
"For the young people, parents do not need to worry about where my kids will go after the school.","For the young people, parents do not need to worry about where my kids will go after school.","3,2,3,2,3","4,2,3,1,2","4,3,3,3,4",copy-net,2.6,2.4,3.4
"Thus, we should not compare now with the past but we need to worried about the future problems that caused by this situation.","Thus, we should not compare now with the past but we need to worry about the future problems that are caused by this situation.","4,2,2,3,4","4,2,3,3,4","4,3,3,3,4",copy-net,3.0,3.2,3.4
"With the help of RFID, if there is an urgent that people crying for help, they would be saved.","With the help of RFID, if there is an urgent amount of people crying for help, they would be saved.","4,4,3,2,3","4,4,4,2,2","4,1,3,2,2",cnn,3.2,3.2,2.4
"Secondly, I will discuss the ageing population as an achievement where they implement healthy lifestyles and good eating habits.","Secondly, I will discuss the ageing population as an achievement where they implement healthy lifestyle and good eating habits.","4,2,2,2,4","4,2,3,2,4","4,4,3,3,4",smt,2.8,3.0,3.6
Rising life expectancies is also an evidence of progress of modern medical technology.,Rising life expectancies is also evidence of progress in modern medical technology.,"4,4,3,3,3","4,4,3,4,3","4,3,3,3,4",transformer,3.4,3.6,3.4
"Not long from now SARS, as blurry as it is, attacked people all around the world.","Not long from now SARS, as blurry as it is attacking people all around the world.","3,4,4,1,3","3,4,4,1,2","4,3,3,3,4",smt,3.0,2.8,3.4
People's lifetime rising means that the time of the cycle of generation rises.,People's lifetime rising means that the cycle of generation rises.,"4,3,3,2,3","4,3,3,2,2","4,2,3,2,4",smt,3.0,2.8,3.0
"Globally, manpower is lacking.","Generally, manpower is lacking.","4,4,4,4,4","4,4,4,4,4","3,2,3,3,1","lstm,cnn",4.0,4.0,2.4
"In the ancient times, the residents may only live for 30 years; but now, the life expectancy can be 80s in many countries.","In the ancient times, the residents may only live for 30 years; but now, the life expectancy can be 80s in many countries.","4,3,3,3,3","4,3,3,3,2","4,4,3,4,4","copy-net,cnn",3.2,3.0,3.8
People are able to predicate some disasters like the earth quake and do the prevention beforehand.,People are able to predicate some disasters like the earth quake and do the prevention beforehand.,"4,3,2,2,3","4,3,2,2,2","4,4,3,4,4",cnn,2.8,2.6,3.8
Medical advances which help in curing this illness were also getting better over the year which helps in the rise in life expectancy.,Medical advances which help in curing this illness are also getting better over the year which help in the rise in life expectancy.,"3,3,3,3,3","4,3,3,2,2","4,3,3,2,4",lstm,3.0,2.8,3.2
Cheating can be very popular in examination and stealing will seldom incur punishment.,Cheating can be very popular in examinations and stealing will seldom incur punishment.,"4,2,3,3,4","4,3,3,3,3","4,3,3,3,4","lstm,copy-net,cnn",3.2,3.2,3.4
"If some bad people want to track someone for their personal purposes, by hacker technology, they can use government tracking system to do their own business.","If some bad people want to track someone for their personal purposes, by cybertechnology, they can use a government tracking system to do their own business.","4,3,3,2,3","4,3,3,1,2","4,3,3,3,4",transformer,3.0,2.6,3.4
